Id,Label,Type
372,Leos by Stephan Brandl,Restaurant
373,taku,Restaurant
374,Schiller's Manufaktur,Restaurant
375,Ahlmanns,Restaurant
376,Le Moissonnier Bistro,Restaurant
377,Raro im Mühlenhof,Restaurant
378,Cheval Blanc,Restaurant
379,Alte Liebe,Restaurant
380,Esszimmer im Oberschwäbischen Hof,Restaurant
381,Restaurant 1950,Restaurant
382,Shiraz,Restaurant
383,Oben,Restaurant
384,Heiderand,Restaurant
385,Bricole,Restaurant
386,Frieda,Restaurant
387,Irma la Douce,Restaurant
388,bidlabu,Restaurant
389,La Cuisine Rademacher,Restaurant
390,KUNO 1408,Restaurant
391,Der Zauberlehrling,Restaurant
392,Lamm Rosswag,Restaurant
393,Tipken's by Nils Henkel,Restaurant
394,La Vallée Verte,Restaurant
395,Mühle,Restaurant
396,Le Frankenberg,Restaurant
397,Sawito,Restaurant
398,Johanns,Restaurant
399,freustil,Restaurant
400,Reuter,Restaurant
401,Die Brasserie,Restaurant
402,Gourmet-Restaurant Der Butt,Restaurant
403,Atelier Sanssouci,Restaurant
404,Kaupers Restaurant im Kapellenhof,Restaurant
405,Hofstube Deimann,Restaurant
406,ROTER HAHN by Maximilian Schmidt,Restaurant
407,1789,Restaurant
408,DIE GOURMET STUBE im Gasthaus Hummel,Restaurant
409,Masters,Restaurant
410,Alte Baiz,Restaurant
411,Kesselhaus,Restaurant
412,Aska,Restaurant
413,Traube,Restaurant
414,Admiral,Restaurant
415,Alte Überfahrt,Restaurant
416,Ente,Restaurant
417,ANIMA,Restaurant
418,Restaurant auf Schloss Filseck,Restaurant
419,Orangerie,Restaurant
420,Schwitzer's Gourmet-Restaurant,Restaurant
421,Schwarzer Adler,Restaurant
422,BODENDORF'S,Restaurant
423,Genuss-Apotheke,Restaurant
424,Hupperts,Restaurant
425,Gourmetrestaurant Berlins Krone,Restaurant
426,Délice,Restaurant
427,Rebers Pflug,Restaurant
428,Gourmetrestaurant Nico Burkhardt,Restaurant
429,Eisenbahn,Restaurant
430,Aubergine,Restaurant
431,KAI3,Restaurant
432,DiVa,Restaurant
433,kochZIMMER in der Gaststätte zur Ratswaage,Restaurant
434,Wirtshaus Meyers Keller,Restaurant
435,Wonka,Restaurant
436,Seesteg,Restaurant
437,Balthasar,Restaurant
438,Silberdistel,Restaurant
439,ESS ATELIER STRAUSS,Restaurant
440,Landhaus Scherrer,Restaurant
441,Ratsstuben,Restaurant
442,Eckert | Fine Dining,Restaurant
443,Philipp Soldan,Restaurant
444,Landhaus Feckl,Restaurant
445,Im Schiffchen,Restaurant
446,Colombi Restaurant Zirbelstube,Restaurant
447,Erbprinz,Restaurant
448,Maerz - Das Restaurant,Restaurant
449,Verbene,Restaurant
450,L'étable,Restaurant
451,bi:braud,Restaurant
452,Werneckhof Sigi Schelling,Restaurant
453,Mod by Sven Nöthel,Restaurant
454,Das Grace,Restaurant
455,Mountain Hub Gourmet,Restaurant
456,"Gourmetrestaurant ""fine dining RS""",Restaurant
457,Nose & Belly,Restaurant
458,HAEBEL,Restaurant
459,Kulmeck by Tom Wickboldt,Restaurant
460,Handwerk,Restaurant
461,Zeik,Restaurant
462,Michaels Leitenberg,Restaurant
463,PAVO,Restaurant
464,Weinstock,Restaurant
465,Maltes hidden kitchen,Restaurant
466,Pottkind,Restaurant
467,Gasthof Krone,Restaurant
468,Seestern,Restaurant
