Name,Cuisine,Award
,,
Taian Table,Innovative,3 Stars
Le Gabriel - La Réserve Paris,Creative,3 Stars
La Table du Castellet,Creative,3 Stars
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Olde Marckt,Modern French,1 Star
,,
,,
,,
,,
,,
,,
,,
,,
Les Amis,French,3 Stars
Odette,French Contemporary,3 Stars
Zén,European Contemporary,3 Stars
Cloudstreet,Innovative,2 Stars
Sushi Sakuta,Sushi,2 Stars
Thevar,Innovative,2 Stars
Jaan by Kirk Westaway,British Contemporary,2 Stars
Saint Pierre,French Contemporary,2 Stars
Meta,Innovative,2 Stars
Shoukouwa,Sushi,2 Stars
Lerouy,French Contemporary,1 Star
Hill Street Tai Hwa Pork Noodle,Street Food,1 Star
Iggy's,European Contemporary,1 Star
Waku Ghin,Japanese Contemporary,1 Star
Ma Cuisine,French,1 Star
Nouri,Innovative,1 Star
Summer Pavilion,Cantonese,1 Star
CUT,Steakhouse,1 Star
Shisen Hanten,"Sichuan, Cantonese",1 Star
Sushi Ichi,Sushi,1 Star
Burnt Ends,Barbecue,1 Star
Labyrinth,"Innovative, Singaporean",1 Star
Imperial Treasure Fine Teochew Cuisine (Orchard),Teochew,1 Star
Chaleur,Innovative,1 Star
Araya,"Innovative, Chilean",1 Star
Buona Terra,Italian Contemporary,1 Star
Pangium,Peranakan,1 Star
Candlenut,Peranakan,1 Star
Jag,French Contemporary,1 Star
Willow,Asian Contemporary,1 Star
Hamamoto,Sushi,1 Star
Whitegrass,French Contemporary,1 Star
Summer Palace,Cantonese,1 Star
Born,Innovative,1 Star
Seroja,"Malaysian, Contemporary",1 Star
Marguerite,European Contemporary,1 Star
Nae:um,Korean Contemporary,1 Star
Lei Garden,Cantonese,1 Star
Le Palais,Cantonese,3 Stars
JL STUDIO,"Singaporean, Contemporary",3 Stars
Taïrroir,Taiwanese contemporary,3 Stars
,,
,,
,,
Eika,Japanese Contemporary,2 Stars
A,French Contemporary,2 Stars
Yu Kapo,Japanese,2 Stars
logy,Asian Contemporary,2 Stars
Mudan,Japanese Tempura,2 Stars
L'Atelier de Joël Robuchon,French Contemporary,2 Stars
Molino de Urdániz,Spanish Contemporary,2 Stars
Ya Ge,Cantonese,1 Star
Circum-,Creative,1 Star
T+T,Asian Contemporary,1 Star
The Guest House,"Huaiyang, Sichuan",1 Star
YUENJI,Taiwanese,1 Star
L'Atelier par Yao,French Contemporary,1 Star
NOBUO,Contemporary,1 Star
Sur-,Taiwanese contemporary,1 Star
Impromptu by Paul Lee,Innovative,1 Star
Mountain and Sea House,Taiwanese,1 Star
Oretachi No Nikuya,Barbecue,1 Star
Golden Formosa,Taiwanese,1 Star
FRASSI,Italian Contemporary,1 Star
A Cut,Steakhouse,1 Star
La Vie by Thomas Bühner,European Contemporary,1 Star
Sho,Japanese,1 Star
Wok by O'BOND,Creative,1 Star
Mipon,Taiwanese,1 Star
GEN,Cantonese,1 Star
Fleur de Sel,French Contemporary,1 Star
Sushi Akira,Sushi,1 Star
Fujin Tree Taiwanese Cuisine & Champagne (Songshan),Taiwanese,1 Star
Sushiyoshi,Japanese,1 Star
Kitcho,Sushi,1 Star
the FRONT HOUSE,Innovative,1 Star
Ban Bo,Taiwanese contemporary,1 Star
Hosu,Taiwanese contemporary,1 Star
Paris 1930 de Hideki Takayama,French Contemporary,1 Star
Tien Hsiang Lo,Hang Zhou,1 Star
SENS,French Contemporary,1 Star
ZEA,Latin American,1 Star
HAILI,Modern Cuisine,1 Star
de nuit,French Contemporary,1 Star
Ken Anhe,Japanese,1 Star
Sushi Ryu,Sushi,1 Star
Ming Fu,Taiwanese,1 Star
Ad Astra,European Contemporary,1 Star
INITA,Italian Contemporary,1 Star
Shin Yeh Taiwanese Signature,Taiwanese,1 Star
La Villa de Camille et Julien,"French, Seasonal Cuisine",1 Star
Capa,"Steakhouse, Spanish",1 Star
Le Faham,Modern Cuisine,1 Star
Le Colombier,"Creative, Modern Cuisine",1 Star
Cheval Blanc,Modern Cuisine,1 Star
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Harutaka,Sushi,3 Stars
Kanda,Japanese,3 Stars
Azabu Kadowaki,Japanese,3 Stars
Myojaku,Japanese,3 Stars
SÉZANNE,"French, Contemporary",3 Stars
L'OSIER,"French, French Contemporary",3 Stars
L'Effervescence,"French, Contemporary",3 Stars
RyuGin,"Japanese, Fugu / Pufferfish",3 Stars
Joël Robuchon,"French, Contemporary",3 Stars
Quintessence,"French, Contemporary",3 Stars
Sazenka,Chinese,3 Stars
Kagurazaka Ishikawa,Japanese,3 Stars
,,
,,
,,
PRISMA,Italian,2 Stars
Tempura Kondo,Tempura,2 Stars
Tempura Motoyoshi,Tempura,2 Stars
Seizan,Japanese,2 Stars
Kohaku,Japanese,2 Stars
HOMMAGE,"French, Contemporary",2 Stars
MAZ,Innovative,2 Stars
ASAHINA Gastronome,French,2 Stars
Crony,"French, Contemporary",2 Stars
Hakuun,Japanese,2 Stars
Den,Japanese,2 Stars
Nishiazabu Sushi Shin,Sushi,2 Stars
Florilège,French,2 Stars
Sukiyabashi Jiro Roppongiten,Sushi,2 Stars
Ginza Fukuju,Japanese,2 Stars
ESqUISSE,"French, Contemporary",2 Stars
Kioicho Fukudaya,Japanese,2 Stars
Ginza Kojyu,Japanese,2 Stars
Ryuzu,"French, Contemporary",2 Stars
Jingumae Higuchi,Japanese,2 Stars
Ensui,Japanese,2 Stars
NARISAWA,Innovative,2 Stars
Sushi Kanesaka,Sushi,2 Stars
Ginza Shinohara,Japanese,2 Stars
Akasaka Kikunoi,Japanese,2 Stars
Kutan,Japanese,2 Stars
Restaurant Pearl Morissette,Contemporary,2 Stars
The Wolf's Tailor,"Contemporary, Creative",2 Stars
Xin Rong Ji,Taizhou,2 Stars
Yu Zhi Lan,Sichuan,2 Stars
mærge,French,1 Star
MANOIR,French,1 Star
est,"French, Contemporary",1 Star
MAKIYAKI GINZA ONODERA,French,1 Star
Seiju,Tempura,1 Star
Sassa,Japanese,1 Star
Yama,Creative,1 Star
Higashiyama Muku,Japanese,1 Star
Waketokuyama,Japanese,1 Star
L'ARGENT,French,1 Star
LA TABLE de Joël Robuchon,"French, Contemporary",1 Star
La Paix,French,1 Star
FARO,Italian,1 Star
Nabeno-Ism,French,1 Star
Tempura Miyashiro,Tempura,1 Star
Tempura Maehira,Tempura,1 Star
Sushi Oya,Sushi,1 Star
Sushi Tanaka,Sushi,1 Star
KIBUN,Contemporary,1 Star
Oku,Sushi,1 Star
Shigeyuki,Japanese,1 Star
Tempura Yaguchi,Tempura,1 Star
Sharikimon Onozawa,Japanese,1 Star
BEIGE Alain Ducasse,French,1 Star
Towa,Japanese,1 Star
Nihombashi Sonoji,Tempura,1 Star
Tour D'argent Tokyo,French,1 Star
Sushi Keita,Sushi,1 Star
Jushu,Japanese,1 Star
Kyobashi Tempura Fukamachi,Tempura,1 Star
ESTERRE by Alain Ducasse,French,1 Star
au deco,French,1 Star
Piao-Xiang,Chinese,1 Star
Hiroo Ishizaka,Sushi,1 Star
Shokuzen Abe,Japanese,1 Star
Miyasaka,Japanese,1 Star
Sushi Hashimoto,Sushi,1 Star
Kabi,Innovative,1 Star
Koshikiryori Koki,Chinese,1 Star
TROIS VISAGES,"French, Contemporary",1 Star
nôl,Contemporary,1 Star
Sushi Ichijo,Sushi,1 Star
l'élan,French,1 Star
Edomae Sushi Hanabusa,Sushi,1 Star
Guchokuni,Japanese,1 Star
Ten Yokota,Tempura,1 Star
La Gloire,French,1 Star
Kappo Muroi,Japanese,1 Star
Sushi Matsuura,Sushi,1 Star
Sushi Kojima,Sushi,1 Star
L'ATELIER de Joël Robuchon,"French, Contemporary",1 Star
Tempura Ginya,Tempura,1 Star
Nogizaka Shin,Japanese,1 Star
Daigo,Shojin,1 Star
KHAO,Thai,1 Star
EWIG,Austrian,1 Star
Yotsuya Minemura,Japanese,1 Star
Alchimiste,"French, Contemporary",1 Star
Les Saisons,French,1 Star
Seisoka,Japanese,1 Star
Akasaka Shimabukuro,Japanese,1 Star
hortensia,"French, French Contemporary",1 Star
Saucer,French,1 Star
apothéose,French,1 Star
Sushi Ryujiro,Sushi,1 Star
Sorahana,Japanese,1 Star
Sushi Masashi,Sushi,1 Star
Ren Mishina,Japanese,1 Star
FUSHIKINO,Japanese,1 Star
Shimbashi Sasada,Japanese,1 Star
itsuka,Chinese,1 Star
Azabujuban Fukuda,Japanese,1 Star
Series,Chinese,1 Star
Sumibikappo SHIROSAKA,Japanese,1 Star
Edomae Shinsaku,Tempura,1 Star
Héritage by Kei Kobayashi,"French, French Contemporary",1 Star
Oniku Karyu,Beef,1 Star
Ippei Hanten,Chinese,1 Star
NéMo,French,1 Star
Sincère,French,1 Star
CRAFTALE,French,1 Star
abysse,"French, Contemporary",1 Star
Édition Koji Shimomura,French,1 Star
PRIMO PASSO,Italian,1 Star
Yakitori Takahashi,Yakitori,1 Star
MONOLITH,French,1 Star
TOKi,"Contemporary, Spanish Contemporary",1 Star
Torakuro,Japanese,1 Star
Takumi Tatsuhiro,Sushi,1 Star
Hyakuyaku by Tokuyamazushi,Japanese,1 Star
Sanosushi,Sushi,1 Star
hakunei,Contemporary,1 Star
le sputnik,French,1 Star
BOTTEGA,Italian,1 Star
Nodaiwa Azabu Iikura Honten,Unagi / Freshwater Eel,1 Star
Nishiazabu Taku,Sushi,1 Star
Tenoshima,Japanese,1 Star
TEN-MASA,"Japanese, Tempura",1 Star
Sushi Yuki,Sushi,1 Star
LATURE,French,1 Star
JO,Beef,1 Star
Dominique Bouchet Tokyo,French,1 Star
Tanimoto,Japanese,1 Star
ShinoiS,Chinese,1 Star
Sushidokoro Kiraku,Sushi,1 Star
L'AFFINAGE,French,1 Star
CYCLE by Mauro Colagreco,"French, Contemporary",1 Star
Mētis Roppongi,French,1 Star
ZURRIOLA,"Spanish, Contemporary",1 Star
Jizozushi,Sushi,1 Star
L'ÉTERRE,"French, Contemporary",1 Star
Ginza Kitagawa,Japanese,1 Star
PRUNIER,French,1 Star
amarantos,"French, Contemporary",1 Star
Yakumo Uezu,Japanese,1 Star
Ginza Kousui,Japanese,1 Star
Oryori Tsuji,Japanese,1 Star
Sushi Miura,Sushi,1 Star
Mutsukari,Japanese,1 Star
Il Ristorante - Niko Romito,Italian,1 Star
Ubuka,Crab Specialities,1 Star
Gucci Osteria da Massimo Bottura Tokyo,"Italian, Contemporary",1 Star
Kappo Sato,"Japanese, Contemporary",1 Star
Hexagon,Contemporary,1 Star
Alo,"Contemporary, French",1 Star
aKin,"Asian, Contemporary",1 Star
The Pine,"Chinese, Contemporary",1 Star
Enigma Yorkville,Contemporary,1 Star
Sushi Masaki Saito,Japanese,1 Star
Shoushin,"Japanese, Sushi",1 Star
DaNico,"Italian, Contemporary",1 Star
Edulis,Mediterranean Cuisine,1 Star
Osteria Giulia,"Italian, Seafood",1 Star
Don Alfonso 1890,"Italian, Contemporary",1 Star
Quetzal,Mexican,1 Star
Aburi Hana,Japanese,1 Star
Restaurant 20 Victoria,"Contemporary, Seafood",1 Star
Bosq,Contemporary,1 Star
Beckon,Contemporary,1 Star
Kizaki,"Japanese, Sushi",1 Star
Alma Fonda Fina,"Mexican, Contemporary",1 Star
Mezcaleria Alma,"Mexican, Contemporary",1 Star
Brutø,Contemporary,1 Star
Margot,Contemporary,1 Star
Frasca Food and Wine,"Italian, Regional Cuisine",1 Star
Fu Rong Huang,Sichuan,1 Star
Ma's Kitchen (Jinjiang),Sichuan,1 Star
The Hall,European Contemporary,1 Star
Co-,Innovative,1 Star
Mi Xun Teahouse,Vegetarian,1 Star
Chaimen Hui,Sichuan,1 Star
Young Art · Yong Ya He Xian (Tongzilin East Road),Sichuan,1 Star
Xu's Cuisine,Sichuan,1 Star
Fang Xiang Jing,Sichuan,1 Star
Hokkien Cuisine,Fujian,1 Star
Silver Pot,Sichuan,1 Star
Frédéric Molina à Forêt Ivre,Creative,1 Star
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Create by Guido Braeken,Modern French,2 Stars
,,
GEM. by Soenil Bahadoer,Creative,2 Stars
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Soleil d’Or by David Geisser,Creative,1 Star
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Xin Rong Ji (Xinyuan South Road),Taizhou,3 Stars
Chao Shang Chao (Chaoyang),Chao Zhou,3 Stars
Schloss Schauenstein,"Creative, Country cooking",3 Stars
Cheval Blanc by Peter Knogl,Classic French,3 Stars
Sven Wassmer Memories,"Creative, Farm to table",3 Stars
Restaurant de l'Hôtel de Ville,"Classic French, Seasonal Cuisine",3 Stars
De Librije,Modern Cuisine,3 Stars
,,
,,
,,
,,
Emeril’s,"American, Creole",2 Stars
Helm,Creative,2 Stars
Jingji,Beijing Cuisine,2 Stars
King's Joy,Vegetarian,2 Stars
Shanghai Cuisine,Shanghainese,2 Stars
Blackswan,French Contemporary,2 Stars
Lamdre,Vegetarian,2 Stars
Lu Shang Lu,Shandong,2 Stars
L'Atelier Robuchon,French Contemporary,2 Stars
La Table du Lausanne Palace,Modern French,2 Stars
Da Vittorio - St. Moritz,Italian,2 Stars
Einstein Gourmet,"Creative, Modern Cuisine",2 Stars
IGNIV by Andreas Caminada,Creative,2 Stars
The Japanese Restaurant,"Japanese Contemporary, Fusion",2 Stars
Gilles Varone,"Modern Cuisine, Seasonal Cuisine",2 Stars
The Counter,"Creative, Modern Cuisine",2 Stars
La Brezza,"Mediterranean Cuisine, Modern Cuisine",2 Stars
Maison Wenger,"Modern French, Regional Cuisine",2 Stars
Magdalena,"Modern Cuisine, Seasonal Cuisine",2 Stars
focus ATELIER,"Creative French, International",2 Stars
Taverne zum Schäfli,"Creative, Farm to table",2 Stars
Ecco St. Moritz,"Creative, Modern French",2 Stars
Stucki - Tanja Grandits,"Creative, Modern Cuisine",2 Stars
Ecco,"Creative, Seasonal Cuisine",2 Stars
Skin's - the restaurant,"Modern Cuisine, Creative",2 Stars
Colonnade,"Modern French, Seasonal Cuisine",2 Stars
Widder Restaurant,"Modern French, Contemporary",2 Stars
La Brezza,"Modern Cuisine, Creative",2 Stars
IGNIV Zürich by Andreas Caminada,"Sharing, Modern Cuisine",2 Stars
The Restaurant,"Creative, Modern Cuisine",2 Stars
7132 Silver,"Creative, Innovative",2 Stars
Mammertsberg,"Creative, Modern Cuisine",2 Stars
Pic Beau-Rivage Palace,Creative,2 Stars
roots,"Modern Cuisine, Seasonal Cuisine",2 Stars
Stand,"Modern Cuisine, Hungarian",2 Stars
Platán Gourmet,"Creative, Hungarian",2 Stars
Fred,Creative French,2 Stars
Tribeca,Creative,2 Stars
't Nonnetje,"Creative, Modern French",2 Stars
Brut172,"Creative, Seasonal Cuisine",2 Stars
De Treeswijkhoeve,Creative,2 Stars
FG - François Geurds,Creative,2 Stars
De Lindenhof,"Creative, Classic French",2 Stars
Aan de Poel,"Creative, Modern French",2 Stars
Ciel Bleu,Creative,2 Stars
De Nieuwe Winkel,"Organic, Vegan",2 Stars
Spectrum,Creative,2 Stars
Inter Scaldes,Modern Cuisine,2 Stars
Restaurant 212,Creative,2 Stars
De Groene Lantaarn,"Creative, Seasonal Cuisine",2 Stars
Vinkeles,"Creative, Classic Cuisine",2 Stars
Parkheuvel,Modern Cuisine,2 Stars
De Bokkedoorns,"Modern Cuisine, Seasonal Cuisine",2 Stars
Flore,"Contemporary, Creative French",2 Stars
Omakase Table,"Japanese, Sushi",1 Star
O by Brush,"Japanese, Sushi",1 Star
Scoundrel,French,1 Star
Vern's,American Contemporary,1 Star
Malagón Mercado y Taperia,Spanish,1 Star
Counter,Contemporary,1 Star
Bastion,"Contemporary, Southern",1 Star
Atlas,American,1 Star
Zasu,"American Contemporary, Seafood",1 Star
Spring,Contemporary,1 Star
The Catbird Seat,Contemporary,1 Star
Bacchanalia,American,1 Star
Hayakawa,"Japanese, Sushi",1 Star
Lazy Betty,Contemporary,1 Star
Mujō,"Japanese, Sushi",1 Star
Wild Common,American Contemporary,1 Star
Locust,Contemporary,1 Star
Saint-Germain,Contemporary,1 Star
Celera,Asian Contemporary,1 Star
Hapag,Filipino,1 Star
Linamnam,"Filipino, Contemporary",1 Star
Asador Alfonso,Spanish Contemporary,1 Star
Kása Palma,"Filipino, Contemporary",1 Star
Toyo Eatery,"Filipino, Contemporary",1 Star
Gallery by Chele,Creative,1 Star
Inatô,"Filipino, Contemporary",1 Star
Nicōsi,Creative,1 Star
CorkScrew BBQ,Barbecue,1 Star
Musaafer,"Indian, Contemporary",1 Star
Tatemó,"Mexican, Contemporary",1 Star
Barley Swine,"Contemporary, American",1 Star
BCN Taste & Tradition,"Spanish, Contemporary",1 Star
LeRoy and Lewis Barbecue,"Barbecue, American",1 Star
Isidore,"American, Steakhouse",1 Star
Craft Omakase,"Japanese, Sushi",1 Star
la Barbecue,Barbecue,1 Star
InterStellar BBQ,Barbecue,1 Star
Mamani,French Contemporary,1 Star
Tatsu Dallas,"Japanese, Sushi",1 Star
Mixtli,Mexican,1 Star
Olamaie,"American, Southern",1 Star
Le Jardinier Houston,"French, Contemporary",1 Star
Hestia,"American, Contemporary",1 Star
March,"Creative, Mediterranean Cuisine",1 Star
Chao Shang Chao (Xicheng),Chao Zhou,1 Star
Seventh Son,Cantonese,1 Star
Zijin Mansion,Cantonese,1 Star
Xin Rong Ji (Jinrong Street),Taizhou,1 Star
The Georg,European Contemporary,1 Star
Trb Hutong,French Contemporary,1 Star
The House of Dynasties,Cantonese,1 Star
Zhiguan Courtyard,Dongbei,1 Star
Cai Yi Xuan,Cantonese,1 Star
Rong Pao,Sichuan,1 Star
Xin Rong Ji (Jianguomenwai Street),Taizhou,1 Star
Poetry‧Wine (Dongsanhuan Middle Road),Beijing Cuisine,1 Star
The Beijing Kitchen (Jianguo Road),Cantonese,1 Star
Sheng Yong Xing (Chaoyang),Beijing Cuisine,1 Star
Jing,French Contemporary,1 Star
Mansion Cuisine by Jingyan,Beijing Cuisine,1 Star
Furong,Hunanese,1 Star
Lu Style (Anding Road),Shandong,1 Star
Lei Garden (Jinbao Tower),Cantonese,1 Star
Il Ristorante - Niko Romito,Italian,1 Star
MO Jasmine,Beijing Cuisine,1 Star
Fu Chun Ju,Cantonese,1 Star
Giada Garden,Italian,1 Star
Gastro Esthetics DaDong,Chinese Contemporary,1 Star
Erth,"Modern Cuisine, Emirati Cuisine",1 Star
Talea by Antonio Guida,Italian,1 Star
Hakkasan,Chinese,1 Star
Max Cekot Kitchen,Creative,1 Star
JOHN Chef's Hall,Modern Cuisine,1 Star
Apollo,"Modern Cuisine, Mediterranean Cuisine",1 Star
The Japanese by The Chedi at Gütsch,"Japanese Contemporary, Fusion",1 Star
Restaurant de l'Hôtel de Ville,"French Contemporary, Seasonal Cuisine",1 Star
Sonnenberg le soir,"French, International",1 Star
Talvo,Mediterranean Cuisine,1 Star
Verve by Sven,"Modern Cuisine, Farm to table",1 Star
Le Pérolles,"Classic French, Contemporary",1 Star
Ackermannshof,"Mediterranean Cuisine, Modern Cuisine",1 Star
Sternen - Badstube,"Classic Cuisine, Fusion",1 Star
de MATOS,Creative,1 Star
Les Montagnards - Le Sommet,"Creative, Modern Cuisine",1 Star
Le Pont de Brent,"Modern Cuisine, Regional Cuisine",1 Star
Arakel,"Modern Cuisine, Seasonal Cuisine",1 Star
Restaurant GERBER WYSS,"Classic French, Regional Cuisine",1 Star
Des Trois Tours,"French Contemporary, Innovative",1 Star
Brasserie Uno,"Contemporary, Seasonal Cuisine",1 Star
La Table d'Adrien,"Contemporary, Mediterranean Cuisine",1 Star
Segreto,"Contemporary, Mediterranean Cuisine",1 Star
La Chaumière by Serge Labrosse,"Modern French, Farm to table",1 Star
Domaine de Châteauvieux,"Modern French, French",1 Star
Osteria dell'Enoteca,"Mediterranean Cuisine, Seasonal Cuisine",1 Star
Steinhalle,"Creative, International",1 Star
Panorama - Cayenne,"Modern French, Creative",1 Star
Wiesner Mysterion - Wiesner - Zauber,"Creative, Regional Cuisine",1 Star
Au 1465,"French Contemporary, Italian",1 Star
Stéphane Décotterd,French Contemporary,1 Star
Le Cigalon,"Seafood, French",1 Star
Villa Sommerlust,"Innovative, Creative",1 Star
Gasthaus Zum Gupf,"Traditional Cuisine, Classic Cuisine",1 Star
LeMontBlanc,"Modern French, Seasonal Cuisine",1 Star
Schlüssel - Nidbergstube,"Classic Cuisine, Modern Cuisine",1 Star
Radius by Stefan Beer,"Regional Cuisine, Swiss",1 Star
